Store,Date,Weekly_Sales
1,5/2/2010,1643690.9
1,12/2/2010,1641957.44
1,19-02-2010,1611968.17
1,26-02-2010,1409727.59
1,5/3/2010,1554806.68
1,12/3/2010,1439541.59
1,19-03-2010,1472515.79
1,26-03-2010,1404429.92
1,2/4/2010,1594968.28
1,9/4/2010,1545418.53
1,16-04-2010,1466058.28
1,23-04-2010,1391256.12
1,30-04-2010,1425100.71
1,7/5/2010,1603955.12
1,14-05-2010,1494251.5
1,21-05-2010,1399662.07
1,28-05-2010,1432069.95
1,4/6/2010,1615524.71
1,11/6/2010,1542561.09
1,18-06-2010,1503284.06
1,25-06-2010,1422711.6
1,2/7/2010,1492418.14
1,9/7/2010,1546074.18
1,16-07-2010,1448938.92
1,23-07-2010,1385065.2
1,30-07-2010,1371986.6
1,6/8/2010,1605491.78
1,13-08-2010,1508237.76
1,20-08-2010,1513080.49
1,27-08-2010,1449142.92
1,3/9/2010,1540163.53
1,10/9/2010,1507460.69
1,17-09-2010,1430378.67
1,24-09-2010,1351791.03
1,1/10/2010,1453329.5
1,8/10/2010,1508239.93
1,15-10-2010,1459409.1
1,22-10-2010,1345454
1,29-10-2010,1384209.22
1,5/11/2010,1551659.28
1,12/11/2010,1494479.49
1,19-11-2010,1483784.18
1,26-11-2010,1955624.11
1,3/12/2010,1548033.78
1,10/12/2010,1682614.26
1,17-12-2010,1891034.93
1,24-12-2010,2387950.2
1,31-12-2010,1367320.01
1,7/1/2011,1444732.28
1,14-01-2011,1391013.96
1,21-01-2011,1327405.42
1,28-01-2011,1316899.31
1,4/2/2011,1606629.58
1,11/2/2011,1649614.93
1,18-02-2011,1686842.78
1,25-02-2011,1456800.28
1,4/3/2011,1636263.41
1,11/3/2011,1553191.63
1,18-03-2011,1576818.06
1,25-03-2011,1541102.38
1,1/4/2011,1495064.75
1,8/4/2011,1614259.35
1,15-04-2011,1559889
1,22-04-2011,1564819.81
1,29-04-2011,1455090.69
1,6/5/2011,1629391.28
1,13-05-2011,1604775.58
1,20-05-2011,1428218.27
1,27-05-2011,1466046.67
1,3/6/2011,1635078.41
1,10/6/2011,1588948.32
1,17-06-2011,1532114.86
1,24-06-2011,1438830.15
1,1/7/2011,1488538.09
1,8/7/2011,1534849.64
1,15-07-2011,1455119.97
1,22-07-2011,1396926.82
1,29-07-2011,1352219.79
1,5/8/2011,1624383.75
1,12/8/2011,1525147.09
1,19-08-2011,1530761.43
1,26-08-2011,1464693.46
1,2/9/2011,1550229.22
1,9/9/2011,1540471.24
1,16-09-2011,1514259.78
1,23-09-2011,1380020.27
1,30-09-2011,1394561.83
1,7/10/2011,1630989.95
1,14-10-2011,1493525.93
1,21-10-2011,1502562.78
1,28-10-2011,1445249.09
1,4/11/2011,1697229.58
1,11/11/2011,1594938.89
1,18-11-2011,1539483.7
1,25-11-2011,2033320.66
1,2/12/2011,1584083.95
1,9/12/2011,1799682.38
1,16-12-2011,1881176.67
1,23-12-2011,2270188.99
1,30-12-2011,1497462.72
1,6/1/2012,1550369.92
1,13-01-2012,1459601.17
1,20-01-2012,1394393.84
1,27-01-2012,1319325.59
1,3/2/2012,1636339.65
1,10/2/2012,1802477.43
1,17-02-2012,1819870
1,24-02-2012,1539387.83
1,2/3/2012,1688420.76
1,9/3/2012,1675431.16
1,16-03-2012,1677472.78
1,23-03-2012,1511068.07
1,30-03-2012,1649604.63
1,6/4/2012,1899676.88
1,13-04-2012,1621031.7
1,20-04-2012,1521577.87
1,27-04-2012,1468928.37
1,4/5/2012,1684519.99
1,11/5/2012,1611096.05
1,18-05-2012,1595901.87
1,25-05-2012,1555444.55
1,1/6/2012,1624477.58
1,8/6/2012,1697230.96
1,15-06-2012,1630607
1,22-06-2012,1527845.81
1,29-06-2012,1540421.49
1,6/7/2012,1769854.16
1,13-07-2012,1527014.04
1,20-07-2012,1497954.76
1,27-07-2012,1439123.71
1,3/8/2012,1631135.79
1,10/8/2012,1592409.97
1,17-08-2012,1597868.05
1,24-08-2012,1494122.38
1,31-08-2012,1582083.4
1,7/9/2012,1661767.33
1,14-09-2012,1517428.87
1,21-09-2012,1506126.06
1,28-09-2012,1437059.26
1,5/10/2012,1670785.97
1,12/10/2012,1573072.81
1,19-10-2012,1508068.77
1,26-10-2012,1493659.74
2,5/2/2010,2136989.46
2,12/2/2010,2137809.5
2,19-02-2010,2124451.54
2,26-02-2010,1865097.27
2,5/3/2010,1991013.13
2,12/3/2010,1990483.78
2,19-03-2010,1946070.88
2,26-03-2010,1750197.81
2,2/4/2010,2066187.72
2,9/4/2010,1954689.21
2,16-04-2010,1874957.94
2,23-04-2010,1821990.93
2,30-04-2010,1802450.29
2,7/5/2010,2042581.71
2,14-05-2010,1880752.36
2,21-05-2010,1896937.1
2,28-05-2010,1957113.89
2,4/6/2010,2102539.93
2,11/6/2010,2025538.76
2,18-06-2010,2001636.96
2,25-06-2010,1939927.09
2,2/7/2010,2003940.64
2,9/7/2010,1880902.62
2,16-07-2010,1845879.79
2,23-07-2010,1781717.71
2,30-07-2010,1804246.16
2,6/8/2010,1991909.98
2,13-08-2010,1895601.05
2,20-08-2010,1964335.23
2,27-08-2010,1863840.49
2,3/9/2010,1904608.09
2,10/9/2010,1839128.83
2,17-09-2010,1793903.6
2,24-09-2010,1724557.22
2,1/10/2010,1827440.43
2,8/10/2010,1849921.44
2,15-10-2010,1794355.49
2,22-10-2010,1737947.64
2,29-10-2010,1802755.11
2,5/11/2010,1939061.41
2,12/11/2010,1916812.74
2,19-11-2010,1956739.17
2,26-11-2010,2658725.29
2,3/12/2010,2015781.27
2,10/12/2010,2378726.55
2,17-12-2010,2609166.75
2,24-12-2010,3436007.68
2,31-12-2010,1750434.55
2,7/1/2011,1758050.79
2,14-01-2011,1744193.58
2,21-01-2011,1751384.9
2,28-01-2011,1695371.68
2,4/2/2011,1929346.23
2,11/2/2011,2168041.61
2,18-02-2011,2080884.82
2,25-02-2011,1833511.08
2,4/3/2011,1981607.78
2,11/3/2011,1879107.31
2,18-03-2011,1902557.66
2,25-03-2011,1766162.05
2,1/4/2011,1800171.36
2,8/4/2011,1847552.61
2,15-04-2011,1856467.84
2,22-04-2011,1886339.6
2,29-04-2011,1745545.28
2,6/5/2011,1837743.6
2,13-05-2011,1838513.07
2,20-05-2011,1688281.86
2,27-05-2011,1797732.56
2,3/6/2011,1933756.21
2,10/6/2011,1929153.16
2,17-06-2011,1953771.99
2,24-06-2011,1790925.8
2,1/7/2011,1866243
2,8/7/2011,1853161.99
